Query 3 - Hourly Error Analysis
Generated at: 2026-05-16 19:31:37 IST
Hadoop run_id: 29
Pig run_id: 30
Hive run_id (successful): NONE
Hive last attempted run_id: 36
Hive note: current Hive environment did not produce result rows in q tables yet.

===== Hadoop-MapReduce =====
batch_id	log_date	log_hour	error_request_count	total_request_count	error_rate	distinct_error_hosts
199532	1995-08-11	18	3	2284	0.001313	3
199532	1995-08-11	19	10	1978	0.005056	4
199532	1995-08-11	20	6	2191	0.002738	5
199532	1995-08-11	21	9	2139	0.004208	5
199532	1995-08-11	22	9	1862	0.004834	4
199532	1995-08-11	23	3	1194	0.002513	3
199532	1995-08-12	0	2	1486	0.001346	2
199532	1995-08-12	1	2	1207	0.001657	2
199532	1995-08-12	2	2	753	0.002656	2
199532	1995-08-12	3	3	747	0.004016	3
199532	1995-08-12	4	6	937	0.006403	4
199532	1995-08-12	5	1	824	0.001214	1
199532	1995-08-12	6	3	803	0.003736	3
199532	1995-08-12	7	8	849	0.009423	5
199532	1995-08-12	8	3	1000	0.003	2
199532	1995-08-12	9	6	1167	0.005141	6
199532	1995-08-12	10	13	2041	0.006369	5
199532	1995-08-12	11	7	1801	0.003887	6
199532	1995-08-12	12	13	1612	0.008065	7
199532	1995-08-12	13	10	2074	0.004822	6
199532	1995-08-12	14	8	1787	0.004477	6
199532	1995-08-12	15	13	2149	0.006049	8
199532	1995-08-12	16	9	2095	0.004296	5
199532	1995-08-12	17	20	2316	0.008636	9
199532	1995-08-12	18	10	2012	0.00497	6
199532	1995-08-12	19	6	1851	0.003241	4
199532	1995-08-12	20	17	2039	0.008337	10
199532	1995-08-12	21	4	1798	0.002225	2
199532	1995-08-12	22	8	2380	0.003361	4
199532	1995-08-12	23	23	2342	0.009821	7
199532	1995-08-13	0	10	2253	0.004439	6
199532	1995-08-13	1	12	1258	0.009539	7
199532	1995-08-13	2	1	266	0.003759	1
199532	1995-08-13	3	0	445	0	0
199532	1995-08-13	4	3	905	0.003315	3
199532	1995-08-13	5	4	772	0.005181	2
199532	1995-08-13	6	2	503	0.003976	2
199532	1995-08-13	7	4	1014	0.003945	4
199532	1995-08-13	8	3	600	0.005	1
199532	1995-08-13	9	6	1258	0.004769	4
199532	1995-08-13	10	13	1371	0.009482	5
199532	1995-08-13	11	3	1630	0.00184	2
199532	1995-08-13	12	7	1537	0.004554	5
199532	1995-08-13	13	12	2051	0.005851	9
199532	1995-08-13	14	25	2293	0.010903	9
199532	1995-08-13	15	3	2007	0.001495	2
199532	1995-08-13	16	20	2218	0.009017	9
199532	1995-08-13	17	14	2237	0.006258	11
199532	1995-08-13	18	4	2072	0.001931	4
199532	1995-08-13	19	12	1823	0.006583	7
199532	1995-08-13	20	7	1771	0.003953	4
199532	1995-08-13	21	5	1733	0.002885	3
199532	1995-08-13	22	27	2432	0.011102	12
199532	1995-08-13	23	19	2031	0.009355	10
199533	1995-08-14	0	8	2035	0.003931	5
199533	1995-08-14	1	15	1464	0.010246	7
199533	1995-08-14	2	4	1274	0.00314	4
199533	1995-08-14	3	6	1031	0.00582	5
199533	1995-08-14	4	4	791	0.005057	2
199533	1995-08-14	5	13	1101	0.011807	6
199533	1995-08-14	6	13	1088	0.011949	7
199533	1995-08-14	7	6	1653	0.00363	4
199533	1995-08-14	8	11	2509	0.004384	5
199533	1995-08-14	9	13	3226	0.00403	10
199533	1995-08-14	10	23	3326	0.006915	12
199533	1995-08-14	11	15	3330	0.004505	11
199533	1995-08-14	12	19	4473	0.004248	14
199533	1995-08-14	13	17	4375	0.003886	10
199533	1995-08-14	14	8	3992	0.002004	6
199533	1995-08-14	15	13	3720	0.003495	7
199533	1995-08-14	16	12	3736	0.003212	11
199533	1995-08-14	17	14	3167	0.004421	11
199533	1995-08-14	18	21	2578	0.008146	13
199533	1995-08-14	19	18	2443	0.007368	9
199533	1995-08-14	20	23	2335	0.00985	7
199533	1995-08-14	21	6	2053	0.002923	5
199533	1995-08-14	22	12	2196	0.005464	9
199533	1995-08-14	23	9	1982	0.004541	7
199533	1995-08-15	0	4	1600	0.0025	2
199533	1995-08-15	1	2	1161	0.001723	1
